Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Enugu,Edo,Ekiti,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun,Ondo,Osun,Oyo,Pleteau,Rivers,Sokoto,Taraba,Yobe,Zamfara,Abuja
Aba North,Demsa,Abak,Aguata,Bauchi,Brass,Ado,Abadan,Abi,Aniocha South,Abakaliki,Aniri,Akoko-Edo,Ado-Ekiti,Akko,Aboh Mbaise,Auyo,Birnin Gwari,Ajingi,Bakori,Aleiro,Adavi,Asa,Agege,Akwanga,Agaie,Abeokuta North,Akoko North,Atakumosa West,Akinyele Moniya,Barkin Ladi,Abua-Odual,Binji,Ardo Kola,Bade,Anka,Abaji
Aba South,Fufore,Eastern Obolo,Akwa North,Tafawa Balewa,Ekeremor,Agatu,Askira/Uba,Akamkpa,Anioha,Afikpo North,Awgu,Egor,Ikere,Balanga,Ahaiazu Mbaise,Babura,Chikum,Albasu,Batagarawa,Arewa Dandil,Ajaokuta,Baruten,Alimosho Ifelodun,Awe,Agwara,Abeokuta South,Akoko North East,Atakumosa East,Afijio Jobele,Bassa,Ahoada East,Bodinga,Bali,Busari,Bakura,Abuja Municipal
Arochukwu,Ganye,Eket,Awka South,Dass,Kolokuma/Opokuma,Apa,Bama,Akpabuyo,Bomadi,Afikpo South,Enugu East,Esan Central,Oye,Billiri,Ehime Mbano,Biriniwa,Giwa,Bagwai,Batsari,Argungu,Ankpa,Edu,Alimosho,Doma,Bida,Ado-Odo/Ota,Akoko South East,Ayedaade,Egbeda,Bokkos,Ahoada West,Dange Shuni,Donga,Damaturu,Birnin Magaji/Kiyaw,Gwagwalada
Bende,Girei,Esit-Eket,Anambra East,Toro,Nembe,Buruku,Bayo,Bakassi,Burutu,Ebonyi,Enugu North,Esan North-East,Aiyekire(Gbonyin),Dukku,Ezinihitte Mbaise,Birnin Kudu,Igabi,Bebeji,Baure,Augie,Bassa,Ekiti,Amuwo-Odofin,Karu,Borgu,Ewekero,Akoko South,Ayedire,Ibadan North Agodi Gate,Jos East,Akuku-Toru,Gada,Gashaka,Geidam,Bukkuyum,Kuje
Ikwuano,Gombi,Essien-Udim,Anambra West,Bogoro,Ogbia,Gboko,Biu,Bekwarra,Ethiope West,Ezza North,Enugu South,Esan South-East,Efon,Dunakaye,Ideato North,Buji,Ikara,Bichi,Bindawa,Bagudo,Dekina,Ifelodun,Apapa,Keana,Bosso,Ifo,Akure North,Bolawaduro,Ibadan North-East Iwo Road,Jos North,Andoni,Goronyo,Gassola,Guijba,Bungudu,Bwari
Isiala Ngwa North,Guyuk,Etim-Ekpo,Anaocha,Ningi,Sagbama,Guma,Chibok,Biase,Ethiope East,Ezza South,Ezeagu,Esan West,Ekiti East,Gombe,Ideato South,Dutse,Jaba,Bunkure,Charanchi,Birnin Kebbi,Ibaji,Ilorin East,Badagry,Keffi,Chanchaga,Ijebu East,Akure,Boripe,Ibadan North-West,Jos South,Asari-Toru,Gudu,Ibi,Gulani,Tsafe(Chafe),Kwali
Isiala Ngwa South,Hong,Etinan,Ayamelum,Warji,Southern Ijaw,Gwer East,Damboa,Boki,Ika South,Ikwo,Igbo Etiti,Etsako Central,Ekiti South-West,Kaltungo,Ihitte/Uboma,Gagarawa,Jema'a,Dala,Dan Musa,Bunza,Idah,Ilorin South,Epe,Kokona,Edati,Ijebu North,Idanre,Ede,Ibadan South-West Ring Road,Kanam,Bonny,Gwadabawa,Jalingo,Fika,Gummi,
Isuikwato,Jada,Ibeno,Dunukofia,Ganjuwa,Yenagoa,Gwer West,Dikwagubio,Calabar Municipal,Ika North,Ishielu,Igbo Eze North,Etsako East,Ekiti West,Kwami,Ikederu,Garki,Kachia,Dambatta,Dandume,Dandil,Igalamela-Odolu,Ilorin West,Eti-Osa,Lafia,Gbako,Ijebu North East,Ifedore,Ede North,Ibadan South-East Mapo,Kanke,Degema,Illela,Karim Lamido,Fune,Gusau,
Obi Ngwa,Lamurde,Ibesikpo-Asutan,Ekwusigo,Kirfi,,Katsina-Ala,Guzamala,Calabar South,Isoko South,Ivo,Igbo Eze South,Etsako West,Emure,Nafada/Bajoga,Isiala Mbano,Gumel,Kaduna North,Dawakin Kudu,Danja,Fakai,Ijumu,Irepodun,Ibeju-Lekki,Nasarawa,Gurara,Ijebu Ode,Ese Odo,Egbedore,Ibarapa North,Langtang North,Elema,Isa,Kurni,Jakusko,Kaura Namoda,
Ohafia,Madagali,Ibiono-Ibom,Idemili North,Alkaleri,,Konshisha,Gwoza,Etung,Isoko North,Izzi,Isi Uzo,Igueben,Ido-Osi,Shomgom,Isu,Guri,Kaduna South,Dawakin Tofa,Daura,Gwandu,Kabba/Bunu,Isin,Ifako/Ijaye,Nasarawa/Eggon,Katcha,Ikenne,Ilaje,Ejigbo,Ibarapa Central,Langtang South,Emohua,Kebbe,Lau,Karasuwa,Maradun,
Osisioma Ngwa,Maiha,Ika,Idemili South,Darazo,,Kwande,Hawul,Ikom,Ndokwa East,Ohaozora,Nkanu East,Ikopoba-Okha,Ijero,Yamaltu/Deba,Mbaitoli,Gwaram,Kagarko,Doguwa,Dutsi,Jega,Koton Karfe,Kaiama,Ikeja,Obi,Kontagora,Imeko Afon,Ile Oluji/Okeigbo,Ife North,Iberapa East Eruwa,Mangu,Etche,Kware,Sardauna,Machina,Maru,
Ugwunagbo,Mayo-Belwa,Ikono,Ihiala,Misau,,Logo,Jare,Obanliku,Ndokwa West,Ohaukwu,Nkanu West,Oredo,Ikole,,Ngor-Okpala,Gwiwa,Kajuru,Fagge,Dutsin-Ma,Kalgo,Lokoja,Moro,Ikorodu,Toto,Lapai,Ipokia,Irele,Ife Central,Ido,Mikang,Gokana,Rabah,Takum,Nangere,Shinkafi,
Ukwa East,Michika,Ikot Abassi,Njiokoka,Giade,,Makurdi,Kaga,Obubra,Okpe,Onicha,Nsukka,Orhionmwon,Ilejemeje,,Njaba,Hadeija,Kaura,Gabasawa,Faskari,Koko/Besse,Mopa-Muro,Offa,Kosofe,Wamba,Lavun,Obafemi Owode,Odigbo,Ife South,Irepo,Pankshin,Ikwerre,Sabon Birni,Ussa,Nguru,Talata Mafara,
Ukwa West,Mubi North,Ikot Ekpene,Nnewi North,Shira,,Obi,Kalka/Balge,Obudu,Oshimili North,,Oji,Ovia North-East,Irepodun/Ifelodun,,Nkwerre,Jahun,Kauru,Garko,Funtua,Maiyama,Ofu,Oke Ero,Lagos Island,,Magama,Odogbolu,Okitipupa,Ife East,Iseyin,Qua'an Pan,Oyigbo,Shagari,Wukari,Potiskum,Zurmi,
Umuahia North,Mubi South,Ini,Nnewi South,Jama'are,,Ogbadibo,Konduga,Odukpani,Oshimili South,,Udenu,Ovia South-West,Ise/Orun,,Nwangele,Kafon Hausa,Kubau,Garun Mallam,Ingawa,Ngaski,Ogori/Magongo,Oyun,Lagos Mainland,,Mariga,Odeda,Ondo,Ifedayo,Kajola,Riyom,Khana,Silame,Yorro,Tarmuwa,,
Umuahia South,Numan,Itu,Ogbaru,Katagum,,Ohimini,Kukawa,Ogoja,Patani,,Udi,Owan East,Moba,,Obowo,Kaugama,Kudan,Gaya,Jibia,Sakaba,Okehi,Pategi,Mushin,,Mashegu,Ogun Waterside,Ondo East,Ifelodun,Lagelu,Shendam,Obio-Akpor,Sokoto North,Zing,Yunusari,,
Umu-Nneochi,Shelleng,Mbo,Onitsha North,Itas/Gadau,,Oju,Kwaya-ku,Yakuur,Sapele,,Uzo-Uwani,Owan West,,,Oguta,Kazaure,Lere,Gezawa,Kafur,Shanga,Okene,,Ojo,,Mokwa,Remo North,Ose,Ilesha West,Ogbomoso North,Wase,Ogba-Egbama-Ndoni,Sokoto South,,Yunufari,,
,Song,Mkpat-Enin,Onitsha South,Zaki,,Okpokwu,Mafa,Yala,Udu,,,Uhunmwonde,,,Ohaji/Egbema,Kiri Kasama,Makafi,Gwale,Kaita,Suru,Olamaboro,,Oshodi-Isolo,,Munya,Sagamu,Owo,Ila-Orangun,Ogbomoso South,,Ogu-Bolo,Tambuwal,,,,
,Toungo,Nsit-Atai,Orumba North,Gamawa,,Otukpo,Magumeri,,Ughelli South,,,,,,Okigwe,Kiyawa,Sabon Gari,Gwarzo,Kankara,Danko/Wasagu,Omala,,Shomolu,,Paikoro,Yewa North,,Ilesha East,Oyo West Ojongbodu,,Okrika,Tangaza,,,,
,Yola North,Nsit-Ibom,Orumba South,Damban,,Tarka,Maiduguri,,Ughelli North,,,,,,Onuimo,Maigatari,Sanga,Kabo,Kankia,Yauri,Yagba East,,Surulere,,Rafi,Yewa South,,Irepodun,Atiba Ofa Meta,,Omumma,Tureta,,,,
,Yola South,Nsit-Ubium,Oyi,,,Ukum,Marte,,Ukwuani,,,,,,Orlu,Malam Madori,Soba,Kano Municipal,Katsina,Zuru,Yagba West,,,,Rijau,,,Irewole,Atisbo Tede,,Opobo-Nkoro,Wamako,,,,
,,Obot-Akara,,,,Ushongo,Mobbar,,Uviwie,,,,,,Orsu,Miga,Zangon Kataf,Karaye,Kurfi,,,,,,Shiroro,,,Isokan,Saki West,,Port Harcourt,Wurno,,,,
,,Okobo,,,,Vandeikya,Monguno,,Warri Central,,,,,,Oru West,Ringim,,Kibiya,Kusada,,,,,,Suleja,,,Iwo,Saki East,,Tai,Yabo,,,,
,,Onna,,,,,Ngala,,Warri North,,,,,,Oru East,Roni,,Kiru,Mai'Adua,,,,,,Tafa,,,Obokun,Itesiwaju Out,,,,,,,
,,Oron,,,,,Nganzai,,Warri South,,,,,,Owerri Muncipal,Sule Tankarkar,,Kumbtso,Malumfashi,,,,,,Wushishi,,,Odo-Otin,Iwajowa,,,,,,,
,,Oruk Anam,,,,,Shani,,,,,,,,Owerri North,Taura,,Kunchi,Mani,,,,,,,,,Ola Oluwa,Olorunsogo,,,,,,,
,,Ukanafun,,,,,,,,,,,,,Owerri West,Yankwashi,,Kura,Mashi,,,,,,,,,Olorunda,Oluyole,,,,,,,
,,Udung-Uko,,,,,,,,,,,,,,,,Madobi,Matazu,,,,,,,,,Oriade,Ogo Oluwa,,,,,,,
,,Uruan,,,,,,,,,,,,,,,,Makoda,Musawa,,,,,,,,,Orolu,Surulere,,,,,,,
,,Urue-Offiong/Oruko,,,,,,,,,,,,,,,,Minjibir,Rimi,,,,,,,,,Osogbo,Orelope,,,,,,,
,,Uyo,,,,,,,,,,,,,,,,Nassarawa,Sabuwa,,,,,,,,,,Ori Ire,,,,,,,
,,,,,,,,,,,,,,,,,,Rano,Safana,,,,,,,,,,Oyo East,,,,,,,
,,,,,,,,,,,,,,,,,,Rimin Gado,Sandamu,,,,,,,,,,Ono Ara,,,,,,,
,,,,,,,,,,,,,,,,,,Rogo,Zango,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Shanono,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Sumalia,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Takai,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Turaunai,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Tofa,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Tsanyawa,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Tudun Wada,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Ungogo,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Warawa,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Wudil,,,,,,,,,,,,,,,,,,
